Period,State,Total_Loss_Area_km2,.geo
2001-2005,Assam,398.8259997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Manipur,242.3461924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Meghalaya,208.9503859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Mizoram,236.7708061,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Nagaland,477.2934882,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Sikkim,1.847128328,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Tripura,106.1228559,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001-2005,Arunachal Pradesh,180.6736179,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Assam,617.0206086,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Manipur,265.1228345,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Meghalaya,315.242948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Mizoram,167.2155557,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Nagaland,315.8697432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Sikkim,5.258597353,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Tripura,257.6919113,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006-2010,Arunachal Pradesh,190.9758446,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Assam,838.0778919,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Manipur,680.8748702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Meghalaya,630.1510289,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Mizoram,692.6129198,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Nagaland,936.4270214,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Sikkim,5.3244945,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Tripura,189.8589025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011-2015,Arunachal Pradesh,368.1651867,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Assam,1028.86531,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Manipur,1039.760008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Meghalaya,996.0554968,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Mizoram,1729.468458,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Nagaland,1311.71361,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Sikkim,9.826381441,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Tripura,558.9124811,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016-2020,Arunachal Pradesh,425.4971445,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Assam,659.2333305,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Manipur,537.3026955,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Meghalaya,412.0001534,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Mizoram,763.9306503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Nagaland,490.526251,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Sikkim,10.3654507,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Tripura,395.8504065,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021-2023,Arunachal Pradesh,230.0761329,"{""type"":""MultiPoint"",""coordinates"":[]}"
