state,longitude,latitude,risk,pixel_area_sqkm
Arunachal Pradesh,96.02676,27.3811,0.094917886,0.0088452585
Arunachal Pradesh,96.02766,27.3811,0.094917886,0.0088452585
Arunachal Pradesh,96.23607,27.3811,0.0996839,0.0088452585
Arunachal Pradesh,96.01328,27.380201,0.09669555,0.008845329
Arunachal Pradesh,96.02227,27.380201,0.09669555,0.008845329
Arunachal Pradesh,96.02766,27.380201,0.09669555,0.008845329
Arunachal Pradesh,96.241455,27.380201,0.6153281,0.008845329
Arunachal Pradesh,96.242355,27.380201,0.6153281,0.008845329
Arunachal Pradesh,96.01328,27.379303,0.09669555,0.008845399
Arunachal Pradesh,96.03125,27.379303,0.094917886,0.008845399
Arunachal Pradesh,96.03394,27.378405,0.094917886,0.00884547
Arunachal Pradesh,96.03484,27.378405,0.094917886,0.00884547
Arunachal Pradesh,96.03574,27.378405,0.094917886,0.00884547
Arunachal Pradesh,96.036644,27.378405,0.094917886,0.00884547
Arunachal Pradesh,96.05102,27.378405,0.09805332,0.00884547
Arunachal Pradesh,96.1112,27.378405,0.61510694,0.00884547
Arunachal Pradesh,96.1121,27.378405,0.61510694,0.00884547
Arunachal Pradesh,96.14175,27.378405,0.61510694,0.00884547
Arunachal Pradesh,96.14354,27.378405,0.61510694,0.00884547
Arunachal Pradesh,96.03394,27.377506,0.094917886,0.00884554
Arunachal Pradesh,96.03484,27.377506,0.094917886,0.00884554
Arunachal Pradesh,96.03574,27.377506,0.094917886,0.00884554
Arunachal Pradesh,96.057304,27.377506,0.09805332,0.00884554
Arunachal Pradesh,96.1121,27.377506,0.61510694,0.00884554
Arunachal Pradesh,96.11479,27.377506,0.61510694,0.00884554
Arunachal Pradesh,96.11569,27.377506,0.61510694,0.00884554
Arunachal Pradesh,96.14354,27.377506,0.61510694,0.00884554
Arunachal Pradesh,96.22978,27.377506,0.10091074,0.00884554
Arunachal Pradesh,96.03574,27.376608,0.094917886,0.008845611
Arunachal Pradesh,96.13635,27.376608,0.08977188,0.008845611
Arunachal Pradesh,96.12288,27.37571,0.097591616,0.00884568
Arunachal Pradesh,96.14085,27.37571,0.61510694,0.00884568
Arunachal Pradesh,96.121086,27.374811,0.097591616,0.008845751
Arunachal Pradesh,96.139046,27.374811,0.61510694,0.008845751
Arunachal Pradesh,96.14354,27.374811,0.61510694,0.008845751
Arunachal Pradesh,96.14713,27.374811,0.08566023,0.008845751
Arunachal Pradesh,96.14803,27.374811,0.08566023,0.008845751
Arunachal Pradesh,96.14893,27.374811,0.08566023,0.008845751
Arunachal Pradesh,96.16061,27.374811,0.6168795,0.008845751
Arunachal Pradesh,96.118385,27.373913,0.61510694,0.008845821
Arunachal Pradesh,96.12288,27.373913,0.097591616,0.008845821
Arunachal Pradesh,96.130066,27.373913,0.08977188,0.008845821
Arunachal Pradesh,96.13097,27.373913,0.08977188,0.008845821
Arunachal Pradesh,96.14534,27.373913,0.61510694,0.008845821
Arunachal Pradesh,96.15073,27.373913,0.08566023,0.008845821
Arunachal Pradesh,96.16061,27.373913,0.6168795,0.008845821
Arunachal Pradesh,96.118385,27.373014,0.61510694,0.008845892
Arunachal Pradesh,96.119286,27.373014,0.61510694,0.008845892
Arunachal Pradesh,96.12288,27.373014,0.097591616,0.008845892
Arunachal Pradesh,96.12468,27.373014,0.097591616,0.008845892
Arunachal Pradesh,96.12557,27.373014,0.097591616,0.008845892
Arunachal Pradesh,96.130066,27.373014,0.08977188,0.008845892
Arunachal Pradesh,96.13276,27.373014,0.08977188,0.008845892
Arunachal Pradesh,96.14534,27.373014,0.61510694,0.008845892
Arunachal Pradesh,96.15073,27.373014,0.08566023,0.008845892
Arunachal Pradesh,96.16241,27.373014,0.6168795,0.008845892
Arunachal Pradesh,96.16331,27.373014,0.6168795,0.008845892
Arunachal Pradesh,96.1121,27.372116,0.61510694,0.008845962
Arunachal Pradesh,96.11749,27.372116,0.61510694,0.008845962
Arunachal Pradesh,96.118385,27.372116,0.61510694,0.008845962
Arunachal Pradesh,96.119286,27.372116,0.61510694,0.008845962
Arunachal Pradesh,96.12557,27.372116,0.097591616,0.008845962
Arunachal Pradesh,96.12647,27.372116,0.097591616,0.008845962
Arunachal Pradesh,96.13635,27.372116,0.08977188,0.008845962
Arunachal Pradesh,96.1642,27.372116,0.6168795,0.008845962
Arunachal Pradesh,96.166,27.372116,0.10507278,0.008845962
Arunachal Pradesh,96.11479,27.371218,0.09941621,0.008846032
Arunachal Pradesh,96.11569,27.371218,0.09941621,0.008846032
Arunachal Pradesh,96.120186,27.371218,0.09941621,0.008846032
Arunachal Pradesh,96.12647,27.371218,0.09941621,0.008846032
Arunachal Pradesh,96.12827,27.371218,0.09941621,0.008846032
Arunachal Pradesh,96.129166,27.371218,0.09491978,0.008846032
Arunachal Pradesh,96.130066,27.371218,0.09491978,0.008846032
Arunachal Pradesh,96.15253,27.371218,0.10218347,0.008846032
Arunachal Pradesh,96.15342,27.371218,0.10218347,0.008846032
Arunachal Pradesh,96.109406,27.37032,0.10161269,0.008846102
Arunachal Pradesh,96.1139,27.37032,0.09941621,0.008846102
Arunachal Pradesh,96.120186,27.37032,0.09941621,0.008846102
Arunachal Pradesh,96.1669,27.37032,0.101247974,0.008846102
Arunachal Pradesh,96.02047,27.369421,0.61635447,0.008846173
Arunachal Pradesh,96.108505,27.369421,0.10161269,0.008846173
Arunachal Pradesh,96.109406,27.369421,0.10161269,0.008846173
Arunachal Pradesh,96.1121,27.369421,0.09941621,0.008846173
Arunachal Pradesh,96.14534,27.369421,0.09941621,0.008846173
Arunachal Pradesh,96.16331,27.369421,0.103138655,0.008846173
Arunachal Pradesh,96.166,27.369421,0.101247974,0.008846173
Arunachal Pradesh,96.1669,27.369421,0.101247974,0.008846173
Arunachal Pradesh,96.11659,27.368523,0.09941621,0.008846243
Arunachal Pradesh,96.12198,27.368523,0.09941621,0.008846243
Arunachal Pradesh,96.14534,27.368523,0.09941621,0.008846243
Arunachal Pradesh,96.14623,27.368523,0.09941621,0.008846243
Arunachal Pradesh,96.14713,27.368523,0.10218347,0.008846243
Arunachal Pradesh,96.1669,27.368523,0.101247974,0.008846243
Arunachal Pradesh,96.24864,27.368523,0.61555314,0.008846243
Arunachal Pradesh,96.01958,27.367624,0.61635447,0.008846314
Arunachal Pradesh,96.02227,27.367624,0.09944689,0.008846314
Arunachal Pradesh,96.076164,27.367624,0.10048453,0.008846314
Arunachal Pradesh,96.086945,27.367624,0.1029691,0.008846314
Arunachal Pradesh,96.11659,27.367624,0.09941621,0.008846314
Arunachal Pradesh,96.11749,27.367624,0.09941621,0.008846314
Arunachal Pradesh,96.119286,27.367624,0.09941621,0.008846314
Arunachal Pradesh,96.12198,27.367624,0.09941621,0.008846314
