state,longitude,latitude,risk,pixel_area_sqkm
Assam,90.42307,26.893314,0.07162391,0.008883117
Assam,90.423965,26.891518,0.07162391,0.008883255
Assam,90.44822,26.877144,0.6182236,0.008884361
Assam,90.44912,26.877144,0.6182236,0.008884361
Assam,90.45181,26.877144,0.08540776,0.008884361
Assam,90.44822,26.876245,0.6182236,0.00888443
Assam,90.44912,26.876245,0.6182236,0.00888443
Assam,90.444626,26.869059,0.6182236,0.008884982
Assam,90.44283,26.86816,0.6182236,0.008885052
Assam,90.44643,26.86816,0.6182236,0.008885052
Assam,90.44014,26.867262,0.6180954,0.008885121
Assam,90.44103,26.867262,0.6180954,0.008885121
Assam,90.44193,26.867262,0.6180954,0.008885121
Assam,90.44103,26.866364,0.6180954,0.00888519
Assam,90.44193,26.865465,0.6180954,0.008885259
Assam,90.44193,26.864567,0.6180954,0.008885328
Assam,90.44283,26.864567,0.6182236,0.008885328
Assam,90.44193,26.86367,0.6180954,0.008885398
Assam,90.44283,26.86367,0.6182236,0.008885398
Assam,90.44373,26.86367,0.6182236,0.008885398
Assam,90.444626,26.86367,0.6182236,0.008885398
Assam,90.44103,26.862772,0.6180954,0.008885466
Assam,90.44283,26.862772,0.6182236,0.008885466
Assam,90.44373,26.862772,0.6182236,0.008885466
Assam,90.44283,26.861874,0.6182236,0.008885535
Assam,90.44373,26.861874,0.6182236,0.008885535
Assam,90.444626,26.861874,0.6182236,0.008885535
Assam,90.445526,26.861874,0.6182236,0.008885535
Assam,90.44643,26.861874,0.6182236,0.008885535
Assam,90.44193,26.860975,0.6180954,0.008885604
Assam,90.44283,26.860975,0.6182236,0.008885604
Assam,90.44373,26.860975,0.6182236,0.008885604
Assam,90.44193,26.860077,0.6180954,0.008885673
Assam,90.44283,26.860077,0.6182236,0.008885673
Assam,90.44373,26.860077,0.6182236,0.008885673
Assam,90.44283,26.859179,0.6173904,0.008885742
Assam,90.44373,26.859179,0.6173904,0.008885742
Assam,90.444626,26.859179,0.6173904,0.008885742
Assam,90.445526,26.859179,0.6173904,0.008885742
Assam,90.42307,26.85828,0.6175186,0.008885811
Assam,90.423965,26.85828,0.6175186,0.008885811
Assam,90.44283,26.85828,0.6173904,0.008885811
Assam,90.44373,26.85828,0.6173904,0.008885811
Assam,90.444626,26.85828,0.6173904,0.008885811
Assam,90.445526,26.85828,0.6173904,0.008885811
Assam,90.44643,26.85828,0.6173904,0.008885811
Assam,90.44373,26.857382,0.6173904,0.008885881
Assam,90.444626,26.857382,0.6173904,0.008885881
Assam,90.445526,26.857382,0.6173904,0.008885881
Assam,90.44643,26.857382,0.6173904,0.008885881
Assam,90.44733,26.857382,0.6173904,0.008885881
Assam,90.44373,26.856483,0.6173904,0.008885949
Assam,90.445526,26.856483,0.6173904,0.008885949
Assam,90.44643,26.856483,0.6173904,0.008885949
Assam,90.44373,26.855585,0.6173904,0.008886019
Assam,90.444626,26.855585,0.6173904,0.008886019
Assam,90.44103,26.854687,0.6176469,0.008886088
Assam,90.44193,26.854687,0.6176469,0.008886088
Assam,90.44373,26.854687,0.6173904,0.008886088
Assam,90.444626,26.854687,0.6173904,0.008886088
Assam,90.445526,26.854687,0.6173904,0.008886088
Assam,90.44643,26.854687,0.6173904,0.008886088
Assam,90.44733,26.854687,0.6173904,0.008886088
Assam,90.444626,26.853788,0.6173904,0.008886157
Assam,90.445526,26.853788,0.6173904,0.008886157
Assam,90.44643,26.853788,0.6173904,0.008886157
Assam,90.44733,26.853788,0.6173904,0.008886157
Assam,90.445526,26.85289,0.6173904,0.0088862255
Assam,90.44643,26.85289,0.6173904,0.0088862255
Assam,90.44733,26.85289,0.6173904,0.0088862255
Assam,90.44822,26.85289,0.6173904,0.0088862255
Assam,90.444626,26.851992,0.6173904,0.008886295
Assam,90.445526,26.851992,0.6173904,0.008886295
Assam,90.44643,26.851992,0.6173904,0.008886295
Assam,90.445526,26.851093,0.6173904,0.008886363
Assam,90.41858,26.850195,0.61648846,0.008886432
Assam,90.41948,26.850195,0.61648846,0.008886432
Assam,90.444626,26.850195,0.6177071,0.008886432
Assam,90.26407,26.849297,0.05252446,0.008886502
Assam,90.26497,26.849297,0.05252446,0.008886502
Assam,90.444626,26.849297,0.6177071,0.008886502
Assam,90.445526,26.849297,0.6177071,0.008886502
Assam,90.44643,26.849297,0.6177071,0.008886502
Assam,90.41768,26.848398,0.61648846,0.00888657
Assam,90.445526,26.848398,0.6177071,0.00888657
Assam,90.42936,26.846601,0.054161258,0.008886709
Assam,90.43025,26.846601,0.054161258,0.008886709
Assam,90.44283,26.846601,0.6177071,0.008886709
Assam,90.445526,26.846601,0.6177071,0.008886709
Assam,90.44643,26.846601,0.6177071,0.008886709
Assam,90.42846,26.845703,0.054161258,0.008886778
Assam,90.42936,26.845703,0.054161258,0.008886778
Assam,90.43025,26.845703,0.054161258,0.008886778
Assam,90.43115,26.845703,0.054161258,0.008886778
Assam,90.445526,26.845703,0.6177071,0.008886778
Assam,90.44643,26.845703,0.6177071,0.008886778
Assam,90.42846,26.844805,0.054161258,0.008886847
Assam,90.42936,26.844805,0.054161258,0.008886847
Assam,90.42846,26.843008,0.054161258,0.008886985
Assam,90.42846,26.84211,0.054161258,0.0088870535
Assam,90.42936,26.84211,0.054161258,0.0088870535
Assam,90.42846,26.840313,0.057970405,0.008887191
Assam,90.42936,26.840313,0.057970405,0.008887191
Assam,90.43025,26.840313,0.057970405,0.008887191
Assam,90.42846,26.839415,0.057970405,0.008887261
Assam,90.42936,26.839415,0.057970405,0.008887261
Assam,90.44733,26.839415,0.6177071,0.008887261
Assam,90.44822,26.839415,0.6177071,0.008887261
Assam,90.42936,26.838516,0.057970405,0.00888733
Assam,90.44822,26.838516,0.6177071,0.00888733
Assam,90.44733,26.837618,0.6177071,0.008887398
Assam,90.44822,26.837618,0.6177071,0.008887398
Assam,90.414085,26.83672,0.6182838,0.008887468
Assam,90.414986,26.83672,0.6182838,0.008887468
Assam,90.45541,26.834024,0.085948296,0.008887675
Assam,90.45451,26.832228,0.6191652,0.0088878125
Assam,90.45631,26.832228,0.6191652,0.0088878125
Assam,90.45181,26.83133,0.6191652,0.008887881
Assam,90.45271,26.83133,0.6191652,0.008887881
Assam,90.45361,26.83133,0.6191652,0.008887881
Assam,90.45451,26.83133,0.6191652,0.008887881
Assam,90.45541,26.83133,0.6191652,0.008887881
Assam,90.45721,26.83133,0.6191652,0.008887881
Assam,90.475174,26.83133,0.60679,0.008887881
Assam,90.45181,26.830431,0.6191652,0.008887951
Assam,90.45271,26.830431,0.6191652,0.008887951
Assam,90.45361,26.830431,0.6191652,0.008887951
Assam,90.45451,26.830431,0.6191652,0.008887951
Assam,90.45541,26.830431,0.6191652,0.008887951
Assam,90.45631,26.830431,0.6191652,0.008887951
Assam,90.45721,26.830431,0.6191652,0.008887951
Assam,90.45811,26.830431,0.6191652,0.008887951
Assam,90.41678,26.829533,0.61294323,0.008888019
Assam,90.45181,26.829533,0.6191652,0.008888019
Assam,90.45271,26.829533,0.6191652,0.008888019
Assam,90.45451,26.829533,0.6191652,0.008888019
Assam,90.45541,26.829533,0.6191652,0.008888019
Assam,90.45631,26.829533,0.6191652,0.008888019
Assam,90.45811,26.829533,0.6191652,0.008888019
Assam,90.415886,26.828634,0.61294323,0.008888089
Assam,90.45181,26.828634,0.6191652,0.008888089
Assam,90.45271,26.828634,0.6191652,0.008888089
