state,longitude,latitude,risk,pixel_area_sqkm
Manipur,94.44034,25.59435,0.6019812,0.008980801
Manipur,94.42686,25.585367,0.04773279,0.008981462
Manipur,94.425064,25.580875,0.61238796,0.008981791
Manipur,94.45381,25.579977,0.6082218,0.008981857
Manipur,94.424164,25.574587,0.049947806,0.008982253
Manipur,93.84565,25.560213,0.6171658,0.0089833075
Manipur,93.84655,25.560213,0.6171658,0.0089833075
Manipur,93.93818,25.547638,0.6086894,0.0089842295
Manipur,94.17533,25.545841,0.6067858,0.008984362
Manipur,94.17084,25.544943,0.6067858,0.008984428
Manipur,94.17174,25.544943,0.6067858,0.008984428
Manipur,94.169044,25.543146,0.051545717,0.008984558
Manipur,94.579575,25.662622,0.03995048,0.0089757815
Manipur,94.580475,25.662622,0.03995048,0.0089757815
Manipur,94.58227,25.662622,0.03995048,0.0089757815
Manipur,94.579575,25.661724,0.03995048,0.008975848
Manipur,94.549034,25.659927,0.06699108,0.008975981
Manipur,94.54185,25.650944,0.60181284,0.008976642
Manipur,94.54274,25.650944,0.60181284,0.008976642
Manipur,94.54274,25.650045,0.60181284,0.008976707
Manipur,94.57329,25.644655,0.6037026,0.008977104
Manipur,94.57418,25.644655,0.6037026,0.008977104
Manipur,94.57508,25.644655,0.6060206,0.008977104
Manipur,94.54005,25.64196,0.61184955,0.008977302
Manipur,94.58317,25.640163,0.6060206,0.008977435
Manipur,94.58407,25.640163,0.59962916,0.008977435
Manipur,94.58496,25.640163,0.59962916,0.008977435
Manipur,94.579575,25.639265,0.6060206,0.008977501
Manipur,94.580475,25.639265,0.6060206,0.008977501
Manipur,94.58137,25.639265,0.6060206,0.008977501
Manipur,94.548134,25.637468,0.040574186,0.008977633
Manipur,94.57329,25.637468,0.6113141,0.008977633
Manipur,94.57508,25.637468,0.6051035,0.008977633
Manipur,94.57598,25.637468,0.6051035,0.008977633
Manipur,94.548134,25.63657,0.040574186,0.008977699
Manipur,94.57239,25.63657,0.6113141,0.008977699
