state,longitude,latitude,risk,pixel_area_sqkm
Meghalaya,92.64371,25.58896,0.61679447,0.008981198
Meghalaya,92.650894,25.58896,0.61679447,0.008981198
Meghalaya,92.65808,25.587164,0.6178835,0.00898133
Meghalaya,92.65897,25.586266,0.6178835,0.0089813955
Meghalaya,92.640114,25.585367,0.068375334,0.008981462
Meghalaya,92.64101,25.585367,0.068375334,0.008981462
Meghalaya,92.65718,25.585367,0.6178835,0.008981462
Meghalaya,92.65808,25.585367,0.6178835,0.008981462
Meghalaya,92.63921,25.57279,0.070660524,0.008982385
Meghalaya,92.63652,25.570993,0.070660524,0.008982517
Meghalaya,92.630226,25.570095,0.0610497,0.008982583
Meghalaya,92.62933,25.569197,0.0610497,0.008982648
Meghalaya,92.640114,25.569197,0.070660524,0.008982648
Meghalaya,92.64819,25.569197,0.05887232,0.008982648
Meghalaya,92.630226,25.568298,0.0610497,0.008982715
Meghalaya,92.63472,25.568298,0.070660524,0.008982715
Meghalaya,92.62753,25.5674,0.0610497,0.00898278
Meghalaya,92.62843,25.5674,0.0610497,0.00898278
Meghalaya,92.62933,25.5674,0.0610497,0.00898278
Meghalaya,92.63113,25.5674,0.0610497,0.00898278
Meghalaya,92.65538,25.5674,0.054629166,0.00898278
Meghalaya,92.62753,25.566502,0.0610497,0.0089828465
Meghalaya,92.62843,25.566502,0.0610497,0.0089828465
Meghalaya,92.63921,25.566502,0.070660524,0.0089828465
Meghalaya,92.65628,25.566502,0.054629166,0.0089828465
Meghalaya,92.61855,25.564705,0.0595899,0.008982978
Meghalaya,92.61945,25.564705,0.0595899,0.008982978
Meghalaya,92.63472,25.561111,0.070660524,0.008983241
Meghalaya,92.61855,25.558416,0.0595899,0.00898344
Meghalaya,92.61945,25.558416,0.0595899,0.00898344
Meghalaya,92.63203,25.553028,0.064388216,0.008983835
Meghalaya,92.63293,25.553028,0.064388216,0.008983835
Meghalaya,92.63203,25.55213,0.064388216,0.008983901
Meghalaya,92.640114,25.551231,0.61730754,0.008983966
Meghalaya,92.62484,25.550333,0.07182944,0.008984032
Meghalaya,92.63741,25.54674,0.06726214,0.008984296
Meghalaya,92.63652,25.544943,0.06726214,0.008984428
Meghalaya,92.63652,25.544044,0.06726214,0.008984493
Meghalaya,92.63741,25.544044,0.06726214,0.008984493
Meghalaya,92.63831,25.543146,0.06726214,0.008984558
Meghalaya,91.5792,26.028236,0.05428728,0.008948681
Meghalaya,91.58639,26.028236,0.041236363,0.008948681
Meghalaya,91.57471,26.022846,0.0566067,0.008949083
Meghalaya,91.573814,26.021948,0.049932733,0.008949149
Meghalaya,91.57471,26.021948,0.0566067,0.008949149
Meghalaya,91.592674,26.021948,0.042865545,0.008949149
Meghalaya,91.6304,26.021948,0.058034964,0.008949149
Meghalaya,91.57471,26.02105,0.0566067,0.008949216
Meghalaya,91.62681,26.02105,0.6151464,0.008949216
Meghalaya,91.593575,26.020151,0.042865545,0.008949284
Meghalaya,91.594475,26.020151,0.042865545,0.008949284
Meghalaya,91.62681,26.020151,0.6151464,0.008949284
Meghalaya,91.62771,26.020151,0.6151464,0.008949284
Meghalaya,91.593575,26.019253,0.042865545,0.008949351
Meghalaya,91.594475,26.019253,0.042865545,0.008949351
Meghalaya,91.62681,26.019253,0.6151464,0.008949351
Meghalaya,91.62771,26.019253,0.6151464,0.008949351
Meghalaya,91.62861,26.019253,0.058034964,0.008949351
Meghalaya,91.572914,26.018354,0.049932733,0.008949418
Meghalaya,91.573814,26.018354,0.049932733,0.008949418
Meghalaya,91.593575,26.018354,0.042865545,0.008949418
Meghalaya,91.62861,26.018354,0.058034964,0.008949418
Meghalaya,91.62052,26.017456,0.6151464,0.008949485
Meghalaya,91.58549,26.014761,0.056018252,0.008949686
Meghalaya,91.615135,26.014761,0.6175831,0.008949686
Meghalaya,91.58459,26.013863,0.056018252,0.008949753
Meghalaya,91.58639,26.013863,0.056018252,0.008949753
Meghalaya,91.58639,26.012964,0.056018252,0.00894982
Meghalaya,91.58729,26.012964,0.056018252,0.00894982
Meghalaya,91.58729,26.012066,0.056018252,0.008949887
Meghalaya,91.57471,26.011168,0.055435564,0.008949954
Meghalaya,91.57561,26.011168,0.055435564,0.008949954
Meghalaya,91.57111,26.01027,0.047074687,0.00895002
Meghalaya,91.57111,26.00937,0.047074687,0.008950088
Meghalaya,91.572014,26.00937,0.047074687,0.008950088
Meghalaya,91.58549,26.00937,0.056018252,0.008950088
Meghalaya,91.572014,26.008472,0.047074687,0.008950155
Meghalaya,91.572914,26.008472,0.047074687,0.008950155
Meghalaya,91.573814,26.008472,0.047074687,0.008950155
Meghalaya,91.61064,26.007574,0.6175831,0.008950221
Meghalaya,91.5792,26.006676,0.055435564,0.008950289
Meghalaya,91.59627,26.00578,0.053721584,0.008950355
Meghalaya,91.60615,26.00578,0.058034964,0.008950355
Meghalaya,91.61154,26.00578,0.062453758,0.008950355
Meghalaya,91.616035,26.00578,0.062453758,0.008950355
Meghalaya,91.61693,26.00578,0.062453758,0.008950355
Meghalaya,91.62142,26.00578,0.6158432,0.008950355
