state,longitude,latitude,risk,pixel_area_sqkm
Nagaland,94.40979,26.594175,0.6133534,0.008906017
Nagaland,94.42237,26.579802,0.077979095,0.008907111
Nagaland,94.45381,26.577106,0.06506068,0.008907316
Nagaland,94.41338,26.574411,0.07898414,0.008907521
Nagaland,94.41428,26.572615,0.07898414,0.008907658
Nagaland,94.43135,26.572615,0.08237588,0.008907658
Nagaland,94.44213,26.567225,0.613289,0.008908069
Nagaland,94.454704,26.566326,0.6123761,0.008908137
Nagaland,94.41428,26.56543,0.0730421,0.008908205
Nagaland,94.455605,26.56543,0.6123761,0.008908205
Nagaland,94.41428,26.564531,0.0730421,0.008908274
Nagaland,94.455605,26.564531,0.6123761,0.008908274
Nagaland,94.41338,26.563633,0.0730421,0.008908342
Nagaland,94.455605,26.563633,0.6123761,0.008908342
Nagaland,94.456505,26.563633,0.6123761,0.008908342
Nagaland,94.454704,26.562735,0.06152468,0.008908411
Nagaland,94.455605,26.562735,0.06152468,0.008908411
Nagaland,94.44213,26.561836,0.61231375,0.008908479
Nagaland,94.44393,26.561836,0.61231375,0.008908479
Nagaland,94.444824,26.561836,0.61231375,0.008908479
Nagaland,94.445724,26.561836,0.61231375,0.008908479
Nagaland,94.45381,26.561836,0.06152468,0.008908479
Nagaland,94.454704,26.561836,0.06152468,0.008908479
Nagaland,94.44303,26.560938,0.61231375,0.0089085465
Nagaland,94.44393,26.560938,0.61231375,0.0089085465
Nagaland,94.44213,26.56004,0.61231375,0.008908615
Nagaland,94.44393,26.56004,0.61231375,0.008908615
Nagaland,94.44303,26.559141,0.61231375,0.008908683
Nagaland,94.4071,26.557344,0.06968451,0.00890882
Nagaland,94.408,26.551954,0.07381675,0.008909229
Nagaland,94.434044,26.551954,0.074626476,0.008909229
Nagaland,94.408,26.551056,0.07381675,0.008909298
Nagaland,94.43764,26.547462,0.074626476,0.008909571
Nagaland,94.26965,26.546564,0.061222956,0.00890964
Nagaland,94.44034,26.546564,0.6127628,0.00890964
Nagaland,94.44034,26.545666,0.6127628,0.008909708
Nagaland,94.44034,26.544767,0.07007806,0.008909777
Nagaland,94.43944,26.543869,0.07007806,0.008909845
Nagaland,94.27684,26.53758,0.061222956,0.008910323
Nagaland,94.26517,26.535784,0.06844547,0.008910459
Nagaland,94.26606,26.535784,0.06844547,0.008910459
Nagaland,94.26696,26.535784,0.06844547,0.008910459
Nagaland,94.27774,26.534885,0.058541797,0.008910527
Nagaland,94.4071,26.534885,0.6135354,0.008910527
Nagaland,94.41069,26.531292,0.6135354,0.008910799
Nagaland,94.41159,26.531292,0.6135354,0.008910799
Nagaland,94.39362,26.526802,0.6134176,0.008911141
Nagaland,94.39362,26.525904,0.6134176,0.00891121
Nagaland,94.41249,26.525904,0.0710124,0.00891121
Nagaland,94.41159,26.525005,0.0710124,0.008911278
Nagaland,94.39182,26.524107,0.6134176,0.008911346
Nagaland,94.39452,26.524107,0.6134176,0.008911346
Nagaland,94.39093,26.523209,0.6134176,0.008911414
Nagaland,94.39272,26.523209,0.6134176,0.008911414
Nagaland,94.25708,26.52231,0.054113116,0.008911482
Nagaland,94.25887,26.52231,0.054113116,0.008911482
Nagaland,94.39003,26.52231,0.6134176,0.008911482
Nagaland,94.39093,26.52231,0.6134176,0.008911482
Nagaland,94.39182,26.52231,0.6134176,0.008911482
Nagaland,94.25708,26.521412,0.054113116,0.008911551
Nagaland,94.42686,26.521412,0.082886375,0.008911551
Nagaland,94.25887,26.520514,0.054113116,0.008911619
Nagaland,94.37835,26.519615,0.0483986,0.008911688
Nagaland,94.38374,26.519615,0.0483986,0.008911688
Nagaland,94.44034,26.517818,0.61379284,0.008911823
Nagaland,94.45381,26.517818,0.077855974,0.008911823
Nagaland,94.25079,26.51692,0.60660106,0.008911892
Nagaland,94.26606,26.51692,0.05920157,0.008911892
Nagaland,94.44034,26.51692,0.61379284,0.008911892
Nagaland,94.25079,26.516022,0.60660106,0.00891196
Nagaland,94.25079,26.515123,0.60660106,0.008912029
Nagaland,94.25887,26.513327,0.05597108,0.008912165
Nagaland,94.45022,26.513327,0.077855974,0.008912165
Nagaland,94.2472,26.512428,0.60660106,0.008912234
Nagaland,94.24809,26.512428,0.60660106,0.008912234
Nagaland,94.24899,26.512428,0.60660106,0.008912234
Nagaland,94.28583,26.512428,0.06465463,0.008912234
Nagaland,94.28672,26.512428,0.06465463,0.008912234
Nagaland,94.45022,26.512428,0.077855974,0.008912234
Nagaland,94.24809,26.51153,0.60660106,0.008912301
Nagaland,94.26337,26.51153,0.05920157,0.008912301
Nagaland,94.28583,26.51153,0.06465463,0.008912301
Nagaland,94.28762,26.51153,0.062874004,0.008912301
Nagaland,94.282234,26.510632,0.06465463,0.008912369
Nagaland,94.28403,26.510632,0.06465463,0.008912369
Nagaland,94.28493,26.510632,0.06465463,0.008912369
Nagaland,94.28583,26.510632,0.06465463,0.008912369
Nagaland,94.28313,26.509733,0.06465463,0.008912438
Nagaland,94.28403,26.509733,0.06465463,0.008912438
Nagaland,94.28493,26.509733,0.06465463,0.008912438
Nagaland,94.28583,26.509733,0.06465463,0.008912438
Nagaland,94.28672,26.509733,0.06465463,0.008912438
Nagaland,94.28762,26.509733,0.062874004,0.008912438
Nagaland,94.45022,26.509733,0.077855974,0.008912438
Nagaland,94.28403,26.508835,0.61313474,0.008912506
Nagaland,94.28493,26.508835,0.61313474,0.008912506
Nagaland,94.28583,26.508835,0.61313474,0.008912506
Nagaland,94.28672,26.508835,0.61313474,0.008912506
Nagaland,94.38104,26.508835,0.062050402,0.008912506
Nagaland,94.251686,26.507936,0.61188275,0.0089125745
Nagaland,94.25259,26.507936,0.61188275,0.0089125745
Nagaland,94.28493,26.507936,0.61313474,0.0089125745
Nagaland,94.28583,26.507936,0.61313474,0.0089125745
Nagaland,94.39093,26.507936,0.054236043,0.0089125745
Nagaland,94.251686,26.507038,0.61188275,0.0089126425
Nagaland,94.25259,26.507038,0.61188275,0.0089126425
