state,longitude,latitude,risk,pixel_area_sqkm
Sikkim,88.22309,27.377506,0.6057696,0.00884554
Sikkim,88.22399,27.376608,0.03899319,0.008845611
Sikkim,88.660576,27.374811,0.04952272,0.008845751
Sikkim,88.29406,27.373014,0.60945046,0.008845892
Sikkim,88.606674,27.373014,0.058654536,0.008845892
Sikkim,88.206924,27.372116,0.040470775,0.008845962
Sikkim,88.58961,27.368523,0.03922167,0.008846243
Sikkim,88.60308,27.366726,0.6071182,0.008846384
Sikkim,88.50786,27.365828,0.61324805,0.008846454
Sikkim,88.60308,27.365828,0.6071182,0.008846454
Sikkim,88.47912,27.36493,0.6025187,0.008846524
Sikkim,88.47912,27.36403,0.6025187,0.008846595
Sikkim,88.71627,27.361336,0.60733575,0.0088468045
Sikkim,88.71717,27.360437,0.60733575,0.008846875
Sikkim,88.33718,27.357742,0.050512042,0.008847086
Sikkim,88.67584,27.357742,0.6135107,0.008847086
Sikkim,88.71627,27.357742,0.60733575,0.008847086
Sikkim,88.49978,27.356844,0.6093214,0.008847157
Sikkim,88.71447,27.356844,0.60733575,0.008847157
Sikkim,88.71537,27.356844,0.60733575,0.008847157
Sikkim,88.71627,27.356844,0.60733575,0.008847157
Sikkim,88.50067,27.355946,0.6093214,0.008847226
Sikkim,88.59141,27.355946,0.036089808,0.008847226
Sikkim,88.71447,27.355946,0.60733575,0.008847226
Sikkim,88.71627,27.355946,0.60733575,0.008847226
Sikkim,88.71537,27.354149,0.60733575,0.008847367
Sikkim,88.58422,27.35325,0.6037713,0.008847438
Sikkim,88.71537,27.35325,0.607494,0.008847438
Sikkim,88.43779,27.351454,0.054979663,0.008847578
Sikkim,88.71896,27.351454,0.60858804,0.008847578
Sikkim,88.43779,27.350555,0.054979663,0.008847648
Sikkim,88.71806,27.350555,0.60858804,0.008847648
Sikkim,88.71896,27.350555,0.60858804,0.008847648
Sikkim,88.71806,27.349657,0.60858804,0.008847719
Sikkim,88.71896,27.349657,0.60858804,0.008847719
Sikkim,88.71896,27.34876,0.60858804,0.008847789
Sikkim,88.719864,27.34876,0.60858804,0.008847789
Sikkim,88.12069,27.347862,0.6071345,0.008847859
Sikkim,88.50247,27.347862,0.04462598,0.008847859
Sikkim,88.71896,27.347862,0.60858804,0.008847859
Sikkim,88.720764,27.347862,0.60858804,0.008847859
Sikkim,88.720764,27.346964,0.60858804,0.008847929
Sikkim,88.72346,27.346066,0.60858804,0.008847999
Sikkim,88.57973,27.345167,0.6015553,0.008848069
Sikkim,88.72346,27.345167,0.60858804,0.008848069
Sikkim,88.72256,27.344269,0.61113673,0.00884814
Sikkim,88.72346,27.344269,0.61113673,0.00884814
Sikkim,88.719864,27.34337,0.61113673,0.00884821
Sikkim,88.719864,27.342472,0.61113673,0.008848281
Sikkim,88.720764,27.342472,0.61113673,0.008848281
Sikkim,88.719864,27.341574,0.61113673,0.0088483505
Sikkim,88.720764,27.341574,0.61113673,0.0088483505
Sikkim,88.720764,27.339777,0.61113673,0.008848491
Sikkim,88.719864,27.338879,0.61113673,0.008848561
Sikkim,88.71806,27.33798,0.61113673,0.008848631
Sikkim,88.71896,27.337082,0.61113673,0.008848702
Sikkim,88.71358,27.336184,0.6049687,0.008848771
Sikkim,88.71178,27.335285,0.60968107,0.008848842
Sikkim,88.71717,27.335285,0.60968107,0.008848842
Sikkim,88.709984,27.334387,0.60968107,0.008848912
Sikkim,88.70728,27.333488,0.6113185,0.008848983
Sikkim,88.70818,27.333488,0.6113185,0.008848983
Sikkim,88.70908,27.333488,0.60968107,0.008848983
Sikkim,88.709984,27.333488,0.60968107,0.008848983
Sikkim,88.70728,27.33259,0.6113185,0.008849053
Sikkim,88.70818,27.33259,0.6113185,0.008849053
Sikkim,88.58063,27.331692,0.03706861,0.0088491235
Sikkim,88.70728,27.331692,0.6113185,0.0088491235
Sikkim,88.70818,27.331692,0.6113185,0.0088491235
Sikkim,88.70908,27.331692,0.60968107,0.0088491235
Sikkim,88.709984,27.331692,0.60968107,0.0088491235
Sikkim,88.51864,27.330793,0.60634464,0.008849192
Sikkim,88.70728,27.330793,0.6113185,0.008849192
Sikkim,88.70818,27.330793,0.6113185,0.008849192
Sikkim,88.70908,27.330793,0.60968107,0.008849192
Sikkim,88.709984,27.330793,0.60968107,0.008849192
Sikkim,88.71088,27.330793,0.60968107,0.008849192
Sikkim,88.7019,27.329895,0.6113185,0.008849262
Sikkim,88.70908,27.329895,0.60968107,0.008849262
Sikkim,88.709984,27.329895,0.60968107,0.008849262
Sikkim,88.71088,27.329895,0.60968107,0.008849262
Sikkim,88.423416,27.328997,0.045721337,0.008849333
Sikkim,88.59051,27.328997,0.5996135,0.008849333
Sikkim,88.629135,27.328997,0.6064428,0.008849333
Sikkim,88.70908,27.328997,0.60968107,0.008849333
